veiculo_envolvido,mortes,share
Sem outro veículo,1192,0.32356134636264927
Automóvel,953,0.25868621064060804
Não disponível,673,0.18268186753528773
Ônibus,382,0.10369163952225842
Caminhão,320,0.08686210640608034
Outra motocicleta,131,0.035559174809989144
Outros veículos,33,0.008957654723127036
