grouped_mode,trips,share
Transporte público,6581314.416631817,0.32348567082351304
Automóvel,6086280.508248924,0.2991536960774842
A pé,5506514.532844614,0.2706569593685421
Outros,1593611.443683437,0.07832940874204641
Moto,577274.2904117575,0.02837426526617398
