tipo_veiculo,veiculos,share
Automóvel,81551,0.4200498593841748
Moto,77020,0.3967117530106209
A pé,16144,0.08315391509482555
Outros,10824,0.05575185684999948
Transporte público,8607,0.044332615660379306
