ano,sinistros_moto,sinistros_sem_moto,share_moto,share_sem_moto
2019,16324,12629,0.5638103132663281,0.4361896867336718
2020,15002,11001,0.5769334307579894,0.4230665692420105
2021,16953,11311,0.5998089442400226,0.4001910557599774
2022,17487,11149,0.6106648973320297,0.3893351026679704
2023,18284,12328,0.597282111590226,0.40271788840977396
2024,18449,11394,0.61820192339912206,0.38179807660087794
2025,5973,3086,0.6593442984876918,0.34065570151230823
